time_s,position_mm,velocity_m_per_s,source_charge_nC,source_current_uA,load_current_uA,voltage_V,power_mW,energy_uJ
8.248246896567e-02,1.360671537335e+01,3.299298758627e-01,2.519030011230e+00,8.641885576570e-01,-7.164847763746e-01,-7.164847763746e+02,5.133504347765e-01,9.155707335121e+01
8.255184026001e-02,1.362961266063e+01,3.302073610400e-01,2.578780341965e+00,8.584412989751e-01,-7.155095680072e-01,-7.155095680072e+02,5.119539419099e-01,9.159263669706e+01
8.262121155434e-02,1.365252919741e+01,3.304848462174e-01,2.638132379273e+00,8.527056113147e-01,-7.145385110946e-01,-7.145385110946e+02,5.105652838372e-01,9.162810343815e+01
8.269058284868e-02,1.367546498371e+01,3.307623313947e-01,2.697086925854e+00,8.469814946760e-01,-7.135715959189e-01,-7.135715959189e+02,5.091844225022e-01,9.166347411666e+01
8.275995414301e-02,1.369842001951e+01,3.310398165721e-01,2.755644784402e+00,8.412689490589e-01,-7.126088127684e-01,-7.126088127684e+02,5.078113200351e-01,9.169874927216e+01
8.282932543735e-02,1.372139430481e+01,3.313173017494e-01,2.813806757616e+00,8.355679744640e-01,-7.116501519373e-01,-7.116501519373e+02,5.064459387524e-01,9.173392944158e+01
8.289869673169e-02,1.374438783962e+01,3.315947869267e-01,2.871573648191e+00,8.298785708897e-01,-7.106956037259e-01,-7.106956037259e+02,5.050882411553e-01,9.176901515924e+01
8.296806802602e-02,1.376740062394e+01,3.318722721041e-01,2.928946258825e+00,8.242007383376e-01,-7.097451584404e-01,-7.097451584404e+02,5.037381899296e-01,9.180400695688e+01
8.303743932036e-02,1.379043265776e+01,3.321497572814e-01,2.985925392214e+00,8.185344768072e-01,-7.087988063931e-01,-7.087988063931e+02,5.023957479443e-01,9.183890536365e+01
8.310681061470e-02,1.381348394109e+01,3.324272424588e-01,3.042511851054e+00,8.128797862984e-01,-7.078565379021e-01,-7.078565379021e+02,5.010608782508e-01,9.187371090614e+01
8.317618190903e-02,1.383655447393e+01,3.327047276361e-01,3.098706438044e+00,8.072366668117e-01,-7.069183432917e-01,-7.069183432917e+02,4.997335440823e-01,9.190842410836e+01
8.324555320337e-02,1.385964425627e+01,3.329822128135e-01,3.154509955879e+00,8.016051183456e-01,-7.059842128920e-01,-7.059842128920e+02,4.984137088528e-01,9.194304549180e+01
8.331492449770e-02,1.388275328812e+01,3.332596979908e-01,3.209923207256e+00,7.959851409018e-01,-7.050541370392e-01,-7.050541370392e+02,4.971013361561e-01,9.197757557540e+01
8.338429579204e-02,1.390588156947e+01,3.335371831682e-01,3.264946994872e+00,7.903767344796e-01,-7.041281060755e-01,-7.041281060755e+02,4.957963897654e-01,9.201201487559e+01
8.345366708638e-02,1.392902910033e+01,3.338146683455e-01,3.319582121424e+00,7.847798990791e-01,-7.032061103488e-01,-7.032061103488e+02,4.944988336319e-01,9.204636390630e+01
