time_s,position_mm,velocity_m_per_s,source_charge_nC,source_current_uA,load_current_uA,voltage_V,power_mW,energy_uJ
3.451925018255e-01,9.998619622502e+01,-1.174894675447e-02,3.249997249629e+02,-4.684433804400e-04,1.655418549125e+00,1.655418549125e+03,2.740410572786e+00,1.536515819114e+03
3.452471468313e-01,9.998554673856e+01,-1.202217178362e-02,3.249996984723e+02,-5.018784251035e-04,1.654612280418e+00,1.654612280418e+03,2.737741798509e+00,1.536665495948e+03
3.453017918372e-01,9.998488232172e+01,-1.229539681277e-02,3.249996701126e+02,-5.368680027450e-04,1.653806387629e+00,1.653806387629e+03,2.735075567764e+00,1.536815027017e+03
3.453564368430e-01,9.998420297450e+01,-1.256862184192e-02,3.249996397980e+02,-5.734474410081e-04,1.653000869811e+00,1.653000869811e+03,2.732411875596e+00,1.536964412458e+03
3.454110818488e-01,9.998350869689e+01,-1.284184687106e-02,3.249996074405e+02,-6.116520714396e-04,1.652195725998e+00,1.652195725998e+03,2.729750717005e+00,1.537113652412e+03
3.454657268547e-01,9.998279948891e+01,-1.311507190021e-02,3.249995729505e+02,-6.515172212493e-04,1.651390955207e+00,1.651390955207e+03,2.727092086938e+00,1.537262747015e+03
3.455203718605e-01,9.998207535053e+01,-1.338829692936e-02,3.249995362362e+02,-6.930782206829e-04,1.650586556440e+00,1.650586556440e+03,2.724435980299e+00,1.537411696406e+03
3.455750168663e-01,9.998133628178e+01,-1.366152195851e-02,3.249994972040e+02,-7.363703973841e-04,1.649782528681e+00,1.649782528681e+03,2.721782391942e+00,1.537560500724e+03
3.456296618722e-01,9.998058228264e+01,-1.393474698766e-02,3.249994557583e+02,-7.814290802974e-04,1.648978870899e+00,1.648978870899e+03,2.719131316671e+00,1.537709160104e+03
3.456843068780e-01,9.997981335312e+01,-1.420797201680e-02,3.249994118016e+02,-8.282895996685e-04,1.648175582044e+00,1.648175582044e+03,2.716482749247e+00,1.537857674686e+03
3.457389518838e-01,9.997902949321e+01,-1.448119704595e-02,3.249993652345e+02,-8.769872848757e-04,1.647372661051e+00,1.647372661051e+03,2.713836684380e+00,1.538006044604e+03
3.457935968896e-01,9.997823070292e+01,-1.475442207510e-02,3.249993159556e+02,-9.275574622616e-04,1.646570106838e+00,1.646570106838e+03,2.711193116733e+00,1.538154269997e+03
3.458482418955e-01,9.997741698225e+01,-1.502764710425e-02,3.249992638617e+02,-9.800354616382e-04,1.645767918306e+00,1.645767918306e+03,2.708552040925e+00,1.538302351000e+03
3.459028869013e-01,9.997658833120e+01,-1.530087213340e-02,3.249992088475e+02,-1.034456612817e-03,1.644966094339e+00,1.644966094339e+03,2.705913451524e+00,1.538450287749e+03
3.459575319071e-01,9.997574474976e+01,-1.557409716254e-02,3.249991508059e+02,-1.090856243009e-03,1.644164633804e+00,1.644164633804e+03,2.703277343053e+00,1.538598080380e+03
3.460121769130e-01,9.997488623794e+01,-1.584732219169e-02,3.249990896278e+02,-1.149269680725e-03,1.643363535554e+00,1.643363535554e+03,2.700643709988e+00,1.538745729029e+03
3.460668219188e-01,9.997401279573e+01,-1.612054722084e-02,3.249990252022e+02,-1.209732254474e-03,1.642562798422e+00,1.642562798422e+03,2.698012546760e+00,1.538893233830e+03
3.461214669246e-01,9.997312442314e+01,-1.639377224999e-02,3.249989574162e+02,-1.272279294504e-03,1.641762421226e+00,1.641762421226e+03,2.695383847751e+00,1.539040594919e+03
3.461761119304e-01,9.997222112017e+01,-1.666699727914e-02,3.249988861548e+02,-1.336946127157e-03,1.640962402768e+00,1.640962402768e+03,2.692757607300e+00,1.539187812429e+03
3.462307569363e-01,9.997130288681e+01,-1.694022230828e-02,3.249988113013e+02,-1.403768080509e-03,1.640162741833e+00,1.640162741833e+03,2.690133819696e+00,1.539334886496e+03
3.462854019421e-01,9.997036972308e+01,-1.721344733743e-02,3.249987327370e+02,-1.472780483507e-03,1.639363437187e+00,1.639363437187e+03,2.687512479185e+00,1.539481817253e+03
3.463400469479e-01,9.996942162895e+01,-1.748667236658e-02,3.249986503411e+02,-1.544018663358e-03,1.638564487582e+00,1.638564487582e+03,2.684893579966e+00,1.539628604833e+03
3.463946919538e-01,9.996845860445e+01,-1.775989739573e-02,3.249985639912e+02,-1.617517949443e-03,1.637765891754e+00,1.637765891754e+03,2.682277116194e+00,1.539775249370e+03
3.464493369596e-01,9.996748064956e+01,-1.803312242488e-02,3.249984735626e+02,-1.693313668970e-03,1.636967648421e+00,1.636967648421e+03,2.679663081976e+00,1.539921750997e+03
3.465039819654e-01,9.996648776429e+01,-1.830634745402e-02,3.249983789289e+02,-1.771441147849e-03,1.636169756283e+00,1.636169756283e+03,2.677051471376e+00,1.540068109846e+03
3.465586269713e-01,9.996547994863e+01,-1.857957248317e-02,3.249982799618e+02,-1.851935715891e-03,1.635372214027e+00,1.635372214027e+03,2.674442278411e+00,1.540214326049e+03
3.466132719771e-01,9.996445720260e+01,-1.885279751232e-02,3.249981765308e+02,-1.934832699439e-03,1.634575020320e+00,1.634575020320e+03,2.671835497054e+00,1.540360399739e+03
3.466679169829e-01,9.996341952617e+01,-1.912602254147e-02,3.249980685039e+02,-2.020167427005e-03,1.633778173815e+00,1.633778173815e+03,2.669231121234e+00,1.540506331048e+03
3.467225619887e-01,9.996236691937e+01,-1.939924757061e-02,3.249979557467e+02,-2.107975224496e-03,1.632981673147e+00,1.632981673147e+03,2.666629144833e+00,1.540652120105e+03
3.467772069946e-01,9.996129938218e+01,-1.967247259976e-02,3.249978381232e+02,-2.198291418256e-03,1.632185516934e+00,1.632185516934e+03,2.664029561690e+00,1.540797767043e+03
3.468318520004e-01,9.996021691461e+01,-1.994569762891e-02,3.249977154954e+02,-2.291151337229e-03,1.631389703780e+00,1.631389703780e+03,2.661432365599e+00,1.540943271992e+03
3.468864970062e-01,9.995911951665e+01,-2.021892265806e-02,3.249975877233e+02,-2.386590306890e-03,1.630594232270e+00,1.630594232270e+03,2.658837550311e+00,1.541088635083e+03
3.469411420121e-01,9.995800718832e+01,-2.049214768721e-02,3.249974546649e+02,-2.484643654016e-03,1.629799100973e+00,1.629799100973e+03,2.656245109531e+00,1.541233856444e+03
3.469957870179e-01,9.995687992960e+01,-2.076537271635e-02,3.249973161765e+02,-2.585346705816e-03,1.629004308441e+00,1.629004308441e+03,2.653655036921e+00,1.541378936206e+03
3.470504320237e-01,9.995573774049e+01,-2.103859774550e-02,3.249971721124e+02,-2.688734787766e-03,1.628209853213e+00,1.628209853213e+03,2.651067326099e+00,1.541523874499e+03
3.471050770295e-01,9.995458062100e+01,-2.131182277465e-02,3.249970223247e+02,-2.794843224473e-03,1.627415733806e+00,1.627415733806e+03,2.648481970640e+00,1.541668671450e+03
3.471597220354e-01,9.995340857113e+01,-2.158504780380e-02,3.249968666639e+02,-2.903707344883e-03,1.626621948725e+00,1.626621948725e+03,2.645898964074e+00,1.541813327188e+03
3.472143670412e-01,9.995222159088e+01,-2.185827283295e-02,3.249967049785e+02,-3.015362474035e-03,1.625828496456e+00,1.625828496456e+03,2.643318299890e+00,1.541957841842e+03
3.472690120470e-01,9.995101968024e+01,-2.213149786209e-02,3.249965371149e+02,-3.129843935672e-03,1.625035375470e+00,1.625035375470e+03,2.640739971530e+00,1.542102215540e+03
3.473236570529e-01,9.994980283922e+01,-2.240472289124e-02,3.249963629178e+02,-3.247187054835e-03,1.624242584221e+00,1.624242584221e+03,2.638163972397e+00,1.542246448408e+03
3.473783020587e-01,9.994857106781e+01,-2.267794792039e-02,3.249961822298e+02,-3.367427158299e-03,1.623450121146e+00,1.623450121146e+03,2.635590295849e+00,1.542390540575e+03
3.474329470645e-01,9.994732436602e+01,-2.295117294954e-02,3.249959948916e+02,-3.490599571540e-03,1.622657984666e+00,1.622657984666e+03,2.633018935201e+00,1.542534492166e+03
3.474875920704e-01,9.994606273385e+01,-2.322439797869e-02,3.249958007421e+02,-3.616739616998e-03,1.621866173186e+00,1.621866173186e+03,2.630449883725e+00,1.542678303308e+03
3.475422370762e-01,9.994478617130e+01,-2.349762300783e-02,3.249955996181e+02,-3.745882619713e-03,1.621074685094e+00,1.621074685094e+03,2.627883134652e+00,1.542821974127e+03
3.475968820820e-01,9.994349467836e+01,-2.377084803698e-02,3.249953913546e+02,-3.878063904728e-03,1.620283518762e+00,1.620283518762e+03,2.625318681171e+00,1.542965504749e+03
3.476515270878e-01,9.994218825504e+01,-2.404407306613e-02,3.249951757845e+02,-4.013318795348e-03,1.619492672545e+00,1.619492672545e+03,2.622756516426e+00,1.543108895299e+03
3.477061720937e-01,9.994086690133e+01,-2.431729809528e-02,3.249949527389e+02,-4.151682614448e-03,1.618702144782e+00,1.618702144782e+03,2.620196633521e+00,1.543252145902e+03
3.477608170995e-01,9.993953061725e+01,-2.459052312443e-02,3.249947220470e+02,-4.293190685768e-03,1.617911933796e+00,1.617911933796e+03,2.617639025518e+00,1.543395256682e+03
3.478154621053e-01,9.993817940278e+01,-2.486374815357e-02,3.249944835361e+02,-4.437878333048e-03,1.617122037893e+00,1.617122037893e+03,2.615083685438e+00,1.543538227763e+03
3.478701071112e-01,9.993681325792e+01,-2.513697318272e-02,3.249942370313e+02,-4.585780878294e-03,1.616332455362e+00,1.616332455362e+03,2.612530606257e+00,1.543681059270e+03
3.479247521170e-01,9.993543218268e+01,-2.541019821187e-02,3.249939823560e+02,-4.736933643945e-03,1.615543184478e+00,1.615543184478e+03,2.609979780914e+00,1.543823751325e+03
3.479793971228e-01,9.993403617706e+01,-2.568342324102e-02,3.249937193317e+02,-4.891371952875e-03,1.614754223498e+00,1.614754223498e+03,2.607431202303e+00,1.543966304052e+03
3.480340421287e-01,9.993262524106e+01,-2.595664827017e-02,3.249934477779e+02,-5.049131125354e-03,1.613965570661e+00,1.613965570661e+03,2.604884863279e+00,1.544108717573e+03
3.480886871345e-01,9.993119937467e+01,-2.622987329931e-02,3.249931675121e+02,-5.210246483821e-03,1.613177224193e+00,1.613177224193e+03,2.602340756655e+00,1.544250992010e+03
