time_s,source_charge_centered_nC,transfer_charge_from_start_nC
6.169882918256e-01,1.177886328725e+02,-4.618532024310e+01
6.170576631200e-01,1.177837707874e+02,-4.619018232819e+01
6.171270344143e-01,1.177789087023e+02,-4.619504441328e+01
6.171964057086e-01,1.177740466172e+02,-4.619990649836e+01
6.172657770030e-01,1.177691845322e+02,-4.620476858345e+01
6.173351482973e-01,1.177643224471e+02,-4.620963066854e+01
6.174045195916e-01,1.177594603620e+02,-4.621449275362e+01
6.174738908860e-01,1.177545982769e+02,-4.621935483871e+01
6.175432621803e-01,1.177497361918e+02,-4.622421692380e+01
6.176126334747e-01,1.177448741067e+02,-4.622907900888e+01
6.176820047690e-01,1.177400120216e+02,-4.623394109397e+01
6.177513760633e-01,1.177351499366e+02,-4.623880317906e+01
6.178207473577e-01,1.177302878515e+02,-4.624366526414e+01
6.178901186520e-01,1.177254257664e+02,-4.624852734923e+01
6.179594899463e-01,1.177205636813e+02,-4.625338943431e+01
6.180288612407e-01,1.177157015962e+02,-4.625825151940e+01
6.180982325350e-01,1.177108395111e+02,-4.626311360449e+01
6.181676038293e-01,1.177059774260e+02,-4.626797568957e+01
6.182369751237e-01,1.177011153409e+02,-4.627283777466e+01
6.183063464180e-01,1.176962532559e+02,-4.627769985975e+01
6.183757177123e-01,1.176913911708e+02,-4.628256194483e+01
6.184450890067e-01,1.176865290857e+02,-4.628742402992e+01
6.185144603010e-01,1.176816670006e+02,-4.629228611501e+01
6.185838315954e-01,1.176768049155e+02,-4.629714820009e+01
6.186532028897e-01,1.176719428304e+02,-4.630201028518e+01
6.187225741840e-01,1.176670807453e+02,-4.630687237027e+01
6.187919454784e-01,1.176622186603e+02,-4.631173445535e+01
6.188613167727e-01,1.176573565752e+02,-4.631659654044e+01
6.189306880670e-01,1.176524944901e+02,-4.632145862553e+01
6.190000593614e-01,1.176476324050e+02,-4.632632071061e+01
6.190694306557e-01,1.176427703199e+02,-4.633118279570e+01
6.191388019500e-01,1.176379082348e+02,-4.633604488079e+01
6.192081732444e-01,1.176330461497e+02,-4.634090696587e+01
6.192775445387e-01,1.176281840646e+02,-4.634576905096e+01
6.193469158331e-01,1.176233219796e+02,-4.635063113604e+01
6.194162871274e-01,1.176184598945e+02,-4.635549322113e+01
6.194856584217e-01,1.176135978094e+02,-4.636035530622e+01
6.195550297161e-01,1.176087357243e+02,-4.636521739130e+01
6.196244010104e-01,1.176038736392e+02,-4.637007947639e+01
6.196937723047e-01,1.175990115541e+02,-4.637494156148e+01
6.197631435991e-01,1.175941494690e+02,-4.637980364656e+01
6.198325148934e-01,1.175892873840e+02,-4.638466573165e+01
6.199018861877e-01,1.175844252989e+02,-4.638952781674e+01
6.199712574821e-01,1.175795632138e+02,-4.639438990182e+01
6.200406287764e-01,1.175747011287e+02,-4.639925198691e+01
6.201100000708e-01,1.175698390436e+02,-4.640411407200e+01
6.201793713651e-01,1.175649769585e+02,-4.640897615708e+01
6.202487426594e-01,1.175601148734e+02,-4.641383824217e+01
6.203181139538e-01,1.175552527884e+02,-4.641870032726e+01
6.203874852481e-01,1.175503907033e+02,-4.642356241234e+01
6.204568565424e-01,1.175455286182e+02,-4.642842449743e+01
6.205262278368e-01,1.175406665331e+02,-4.643328658251e+01
6.205955991311e-01,1.175358044480e+02,-4.643814866760e+01
6.206649704254e-01,1.175309423629e+02,-4.644301075269e+01
6.207343417198e-01,1.175260802778e+02,-4.644787283777e+01
6.208037130141e-01,1.175212181927e+02,-4.645273492286e+01
6.208730843085e-01,1.175163561077e+02,-4.645759700795e+01
6.209424556028e-01,1.175114940226e+02,-4.646245909303e+01
6.210118268971e-01,1.175066319375e+02,-4.646732117812e+01
6.210811981915e-01,1.175017698524e+02,-4.647218326321e+01
6.211505694858e-01,1.174969077673e+02,-4.647704534829e+01
6.212199407801e-01,1.174920456822e+02,-4.648190743338e+01
6.212893120745e-01,1.174871835971e+02,-4.648676951847e+01
6.213586833688e-01,1.174823215121e+02,-4.649163160355e+01
6.214280546631e-01,1.174774594270e+02,-4.649649368864e+01
6.214974259575e-01,1.174730715288e+02,-4.650088158686e+01
6.215667972518e-01,1.174686836305e+02,-4.650526948507e+01
6.216361685461e-01,1.174642957323e+02,-4.650965738329e+01
6.217055398405e-01,1.174599078341e+02,-4.651404528151e+01
6.217749111348e-01,1.174555199359e+02,-4.651843317972e+01
6.218442824292e-01,1.174511320377e+02,-4.652282107794e+01
6.219136537235e-01,1.174467441395e+02,-4.652720897616e+01
6.219830250178e-01,1.174423562412e+02,-4.653159687437e+01
6.220523963122e-01,1.174379683430e+02,-4.653598477259e+01
6.221217676065e-01,1.174335804448e+02,-4.654037267081e+01
6.221911389008e-01,1.174291925466e+02,-4.654476056902e+01
6.222605101952e-01,1.174248046484e+02,-4.654914846724e+01
6.223298814895e-01,1.174204167502e+02,-4.655353636546e+01
6.223992527838e-01,1.174160288519e+02,-4.655792426367e+01
6.224686240782e-01,1.174116409537e+02,-4.656231216189e+01
6.225379953725e-01,1.174072530555e+02,-4.656670006011e+01
6.226073666669e-01,1.174028651573e+02,-4.657108795832e+01
6.226767379612e-01,1.173984772591e+02,-4.657547585654e+01
6.227461092555e-01,1.173940893608e+02,-4.657986375476e+01
6.228154805499e-01,1.173897014626e+02,-4.658425165298e+01
