time_s,position_m,motion_velocity_m_per_s,source_charge_C,short_circuit_current_A
0.368034114262282,0.0984134831899314,-0.125957008938314,6.42885142929152e-07,-6.69513847347481e-07
0.368088759268111,0.098406592803252,-0.126230233967461,6.42848476672861e-07,-6.72466292805024e-07
0.368143404273941,0.0983996874861893,-0.126503458996609,6.42811648742084e-07,-6.75431112215148e-07
0.36819804927977,0.0983927672387433,-0.126776684025757,6.4277465845937e-07,-6.78408352239392e-07
0.3682526942856,0.098385832060914,-0.127049909054905,6.42737505144717e-07,-6.81398059664911e-07
0.36830733929143,0.0983788819527014,-0.127323134084053,6.42700188115562e-07,-6.84400281404331e-07
0.368361984297259,0.0983719169141055,-0.127596359113201,6.42662706686775e-07,-6.87415064495618e-07
0.368416629303089,0.0983649369451263,-0.127869584142349,6.42625060170653e-07,-6.90442456101911e-07
0.368471274308918,0.0983579420457637,-0.128142809171497,6.4258724787691e-07,-6.93482503511366e-07
0.368525919314748,0.0983509322160179,-0.128416034200645,6.42549269112675e-07,-6.96535254136975e-07
0.368580564320578,0.0983439074558887,-0.128689259229793,6.42511123182481e-07,-6.99600755516415e-07
0.368635209326407,0.0983368677653763,-0.128962484258941,6.42472809388263e-07,-7.0267905531185e-07
0.368689854332237,0.0983298131444805,-0.129235709288089,6.42434327029343e-07,-7.05770201309753e-07
0.368744499338066,0.0983227435932014,-0.129508934317237,6.42395675402433e-07,-7.08874241420702e-07
0.368799144343896,0.098315659111539,-0.129782159346385,6.42356853801622e-07,-7.11991223679194e-07
0.368853789349726,0.0983085596994932,-0.130055384375533,6.42317861518369e-07,-7.15121196243434e-07
0.368908434355555,0.0983014453570642,-0.130328609404681,6.422786978415e-07,-7.18264207395108e-07
0.368963079361385,0.0982943160842519,-0.130601834433829,6.42239362057199e-07,-7.21420305539184e-07
0.369017724367214,0.0982871718810562,-0.130875059462976,6.42199853449001e-07,-7.24589539203669e-07
0.369072369373044,0.0982800127474773,-0.131148284492124,6.42160171297787e-07,-7.27771957039387e-07
0.369127014378874,0.098272838683515,-0.131421509521272,6.42120314881774e-07,-7.30967607819727e-07
0.369181659384703,0.0982656496891694,-0.13169473455042,6.42080283476512e-07,-7.34176540440391e-07
0.369236304390533,0.0982584457644406,-0.131967959579568,6.42040076354877e-07,-7.37398803919154e-07
0.369290949396362,0.0982512269093284,-0.132241184608716,6.4199969278706e-07,-7.40634447395592e-07
0.369345594402192,0.0982439931238328,-0.132514409637864,6.41959132040565e-07,-7.43883520130814e-07
0.369400239408021,0.098236744407954,-0.132787634667012,6.41918393380201e-07,-7.47146071507172e-07
