time_s,short_circuit_current_A,integrated_transferred_charge_C,short_circuit_current_uA,integrated_transferred_charge_nC
3.433345716273e-01,-8.162514324546e-08,6.483471086767e-07,-8.162514324546e-02,6.483471086767e+02
3.433892166331e-01,-8.204106659037e-08,6.483426369062e-07,-8.204106659037e-02,6.483426369062e+02
3.434438616390e-01,-8.245869686108e-08,6.483381423609e-07,-8.245869686108e-02,6.483381423609e+02
3.434985066448e-01,-8.287804262310e-08,6.483336249473e-07,-8.287804262310e-02,6.483336249473e+02
3.435531516506e-01,-8.329911247576e-08,6.483290845715e-07,-8.329911247576e-02,6.483290845715e+02
3.436077966565e-01,-8.372191505236e-08,6.483245211390e-07,-8.372191505236e-02,6.483245211390e+02
3.436624416623e-01,-8.414645902033e-08,6.483199345549e-07,-8.414645902033e-02,6.483199345549e+02
3.437170866681e-01,-8.457275308142e-08,6.483153247237e-07,-8.457275308142e-02,6.483153247237e+02
3.437717316739e-01,-8.500080597178e-08,6.483106915497e-07,-8.500080597178e-02,6.483106915497e+02
3.438263766798e-01,-8.543062646224e-08,6.483060349363e-07,-8.543062646224e-02,6.483060349363e+02
3.438810216856e-01,-8.586222335836e-08,6.483013547870e-07,-8.586222335836e-02,6.483013547870e+02
3.439356666914e-01,-8.629560550065e-08,6.482966510042e-07,-8.629560550065e-02,6.482966510042e+02
3.439903116973e-01,-8.673078176474e-08,6.482919234902e-07,-8.673078176474e-02,6.482919234902e+02
3.440449567031e-01,-8.716776106151e-08,6.482871721468e-07,-8.716776106151e-02,6.482871721468e+02
3.440996017089e-01,-8.760655233726e-08,6.482823968751e-07,-8.760655233726e-02,6.482823968751e+02
3.441542467148e-01,-8.804716457391e-08,6.482775975759e-07,-8.804716457391e-02,6.482775975759e+02
3.442088917206e-01,-8.848960678911e-08,6.482727741494e-07,-8.848960678911e-02,6.482727741494e+02
3.442635367264e-01,-8.893388803645e-08,6.482679264955e-07,-8.893388803645e-02,6.482679264955e+02
3.443181817322e-01,-8.938001740560e-08,6.482630545133e-07,-8.938001740560e-02,6.482630545133e+02
3.443728267381e-01,-8.982800402250e-08,6.482581581016e-07,-8.982800402250e-02,6.482581581016e+02
3.444274717439e-01,-9.027785704949e-08,6.482532371587e-07,-9.027785704949e-02,6.482532371587e+02
3.444821167497e-01,-9.072958568552e-08,6.482482915823e-07,-9.072958568552e-02,6.482482915823e+02
3.445367617556e-01,-9.118319916629e-08,6.482433212697e-07,-9.118319916629e-02,6.482433212697e+02
3.445914067614e-01,-9.163870676443e-08,6.482383261176e-07,-9.163870676443e-02,6.482383261176e+02
3.446460517672e-01,-9.209611778964e-08,6.482333060224e-07,-9.209611778964e-02,6.482333060224e+02
3.447006967730e-01,-9.255544158893e-08,6.482282608796e-07,-9.255544158893e-02,6.482282608796e+02
3.447553417789e-01,-9.301668754671e-08,6.482231905846e-07,-9.301668754671e-02,6.482231905846e+02
3.448099867847e-01,-9.347986508501e-08,6.482180950320e-07,-9.347986508501e-02,6.482180950320e+02
3.448646317905e-01,-9.394498366363e-08,6.482129741160e-07,-9.394498366363e-02,6.482129741160e+02
3.449192767964e-01,-9.441205278033e-08,6.482078277303e-07,-9.441205278033e-02,6.482078277303e+02
3.449739218022e-01,-9.488108197097e-08,6.482026557681e-07,-9.488108197097e-02,6.482026557681e+02
3.450285668080e-01,-9.535208080972e-08,6.481974581219e-07,-9.535208080972e-02,6.481974581219e+02
3.450832118139e-01,-9.582505890922e-08,6.481922346840e-07,-9.582505890922e-02,6.481922346840e+02
3.451378568197e-01,-9.630002592074e-08,6.481869853458e-07,-9.630002592074e-02,6.481869853458e+02
3.451925018255e-01,-9.677699153438e-08,6.481817099984e-07,-9.677699153438e-02,6.481817099984e+02
3.452471468313e-01,-9.725596547921e-08,6.481764085324e-07,-9.725596547921e-02,6.481764085324e+02
3.453017918372e-01,-9.773695752348e-08,6.481710808377e-07,-9.773695752348e-02,6.481710808377e+02
3.453564368430e-01,-9.821997747478e-08,6.481657268037e-07,-9.821997747478e-02,6.481657268037e+02
3.454110818488e-01,-9.870503518023e-08,6.481603463195e-07,-9.870503518023e-02,6.481603463195e+02
3.454657268547e-01,-9.919214052662e-08,6.481549392733e-07,-9.919214052662e-02,6.481549392733e+02
3.455203718605e-01,-9.968130344064e-08,6.481495055531e-07,-9.968130344064e-02,6.481495055531e+02
3.455750168663e-01,-1.001725338890e-07,6.481440450460e-07,-1.001725338890e-01,6.481440450460e+02
3.456296618722e-01,-1.006658418787e-07,6.481385576389e-07,-1.006658418787e-01,6.481385576389e+02
3.456843068780e-01,-1.011612374571e-07,6.481330432180e-07,-1.011612374571e-01,6.481330432180e+02
3.457389518838e-01,-1.016587307122e-07,6.481275016688e-07,-1.016587307122e-01,6.481275016688e+02
3.457935968896e-01,-1.021583317726e-07,6.481219328765e-07,-1.021583317726e-01,6.481219328765e+02
3.458482418955e-01,-1.026600508082e-07,6.481163367257e-07,-1.026600508082e-01,6.481163367257e+02
