resistance_ohm,energy_N2_J,energy_N4_J,energy_N6_J
1.412537544623e+12,1.885215607640e-04,7.789688695728e-05,4.878233743826e-05
1.584893192461e+12,1.680886658680e-04,6.943404648418e-05,4.347989078877e-05
1.778279410039e+12,1.498589745692e-04,6.188934640921e-05,3.875342120416e-05
1.995262314969e+12,1.335981270978e-04,5.516352315658e-05,3.454046400037e-05
2.238721138568e+12,1.190957864492e-04,4.916794956330e-05,3.078530145711e-05
2.511886431510e+12,1.061634356342e-04,4.382352171094e-05,2.743824158134e-05
2.818382931264e+12,9.463230023032e-05,3.905965477571e-05,2.445497187864e-05
3.162277660168e+12,8.435141413697e-05,3.481337937052e-05,2.179598091931e-05
3.548133892336e+12,7.518583595880e-05,3.102852986537e-05,1.942604101100e-05
3.981071705535e+12,6.701501632778e-05,2.765501643112e-05,1.731374582819e-05
4.466835921510e+12,5.973131182676e-05,2.464817296428e-05,1.543109738051e-05
5.011872336273e+12,5.323863828289e-05,2.196817355204e-05,1.375313721358e-05
5.623413251903e+12,4.745125454543e-05,1.957951068125e-05,1.225761721935e-05
6.309573444802e+12,4.229266706474e-05,1.745052895041e-05,1.092470588425e-05
7.079457843841e+12,3.769464537035e-05,1.555300859091e-05,9.736726219270e-06
7.943282347243e+12,3.359633870857e-05,1.386179362733e-05,8.677921997615e-06
8.912509381337e+12,2.994348450255e-05,1.235446000065e-05,7.734249273319e-06
1.000000000000e+13,2.668769984199e-05,1.101101943717e-05,6.893190468810e-06
1.122018454302e+13,2.378584782854e-05,9.813655269273e-06,6.143588604480e-06
1.258925411794e+13,2.119947124996e-05,8.746486800833e-06,5.475499499714e-06
1.412537544623e+13,1.889428670162e-05,7.795359162272e-06,4.880060005571e-06
1.584893192461e+13,1.683973289815e-05,6.947655919122e-06,4.349370536370e-06
1.778279410039e+13,1.500856750963e-05,6.192131985738e-06,3.876390353030e-06
1.995262314969e+13,1.337650740929e-05,5.518764655136e-06,3.454844217210e-06
2.238721138568e+13,1.192190772988e-05,4.918620788838e-06,3.079139183966e-06
2.511886431510e+13,1.062547559358e-05,4.383738419663e-06,2.744290433544e-06
2.818382931264e+13,9.470014806587e-06,3.907021207650e-06,2.445855161667e-06
3.162277660168e+13,8.440198195679e-06,3.482144356990e-06,2.179873653723e-06
3.548133892336e+13,7.522364613277e-06,3.103470751752e-06,1.942816762937e-06
3.981071705535e+13,6.704337952002e-06,2.765976202229e-06,1.731539097087e-06
4.466835921510e+13,5.975265792480e-06,2.465182813454e-06,1.543237293706e-06
5.011872336273e+13,5.325475561962e-06,2.197099594343e-06,1.375412830977e-06
5.623413251903e+13,4.746346308745e-06,1.958169521372e-06,1.225838881493e-06
6.309573444802e+13,4.230194401031e-06,1.745222355824e-06,1.092530769543e-06
7.079457843841e+13,3.770171640977e-06,1.555432589686e-06,9.737196403054e-07
7.943282347243e+13,3.360174447548e-06,1.386281963010e-06,8.678289918391e-07
8.912509381337e+13,2.994762907210e-06,1.235526056021e-06,7.734537586901e-07
1.000000000000e+14,2.669088621413e-06,1.101164513199e-06,6.893416697488e-07
