time_s,Q_analytical_nC,Isrc_analytical_uA,Iload_analytical_uA,Q_empirical_nC,Isrc_empirical_uA,Iload_empirical_uA
1.359904019658e-02,-3.248025556718e+02,5.807611786488e-02,1.718434019176e-03,-3.249516221080e+02,1.451763361002e-02,4.211220902610e-04
1.373780591287e-02,-3.247943733901e+02,5.987153309868e-02,1.789200897893e-03,-3.249495752152e+02,1.498918142514e-02,4.388365985139e-04
1.387657162917e-02,-3.247859394394e+02,6.170355048977e-02,1.862122038211e-03,-3.249474621390e+02,1.547160055214e-02,4.571187569069e-04
1.401533734546e-02,-3.247772487153e+02,6.357253751459e-02,1.937240244352e-03,-3.249452813597e+02,1.596505238362e-02,4.759814003643e-04
1.415410306175e-02,-3.247682960620e+02,6.547886153641e-02,2.014598721763e-03,-3.249430313351e+02,1.646969986736e-02,4.954375483865e-04
1.429286877804e-02,-3.247590762731e+02,6.742288980008e-02,2.094241076469e-03,-3.249407105003e+02,1.698570752042e-02,5.155004067530e-04
1.443163449433e-02,-3.247495840908e+02,6.940498943056e-02,2.176211314436e-03,-3.249383172674e+02,1.751324144820e-02,5.361833692438e-04
1.457040021062e-02,-3.247398142069e+02,7.142552742811e-02,2.260553840924e-03,-3.249358500253e+02,1.805246935640e-02,5.575000193770e-04
1.470916592692e-02,-3.247297612619e+02,7.348487066549e-02,2.347313459836e-03,-3.249333071397e+02,1.860356056878e-02,5.794641321639e-04
1.484793164321e-02,-3.247194198455e+02,7.558338588343e-02,2.436535373066e-03,-3.249306869525e+02,1.916668604211e-02,6.020896758808e-04
1.498669735950e-02,-3.247087844965e+02,7.772143968709e-02,2.528265179842e-03,-3.249279877818e+02,1.974201838074e-02,6.253908138581e-04
1.512546307579e-02,-3.246978497030e+02,7.989939854224e-02,2.622548876066e-03,-3.249252079218e+02,2.032973185477e-02,6.493819062862e-04
1.526422879208e-02,-3.246866099020e+02,8.211762877173e-02,2.719432853647e-03,-3.249223456422e+02,2.093000241307e-02,6.740775120398e-04
1.540299450837e-02,-3.246750594798e+02,8.437649655140e-02,2.818963899833e-03,-3.249193991883e+02,2.154300769871e-02,6.994923905162e-04
1.554176022467e-02,-3.246631927720e+02,8.667636790466e-02,2.921189196538e-03,-3.249163667805e+02,2.216892706734e-02,7.256415034932e-04
1.568052594096e-02,-3.246510040633e+02,8.901760869986e-02,3.026156319665e-03,-3.249132466142e+02,2.280794159917e-02,7.525400170026e-04
1.581929165725e-02,-3.246384875876e+02,9.140058464621e-02,3.133913238422e-03,-3.249100368597e+02,2.346023411756e-02,7.802033032216e-04
1.595805737354e-02,-3.246256375281e+02,9.382566128809e-02,3.244508314639e-03,-3.249067356618e+02,2.412598920209e-02,8.086469423797e-04
1.609682308983e-02,-3.246124480174e+02,9.629320400165e-02,3.357990302075e-03,-3.249033411394e+02,2.480539320671e-02,8.378867246840e-04
1.623558880612e-02,-3.245989131372e+02,9.880357798911e-02,3.474408345721e-03,-3.248998513855e+02,2.549863427240e-02,8.679386522604e-04
1.637435452242e-02,-3.245850269188e+02,1.013571482775e-01,3.593811981103e-03,-3.248962644669e+02,2.620590234485e-02,8.988189411114e-04
1.651312023871e-02,-3.245707833427e+02,1.039542797097e-01,3.716251133578e-03,-3.248925784239e+02,2.692738918929e-02,9.305440230913e-04
