time_s,position_m,charge_C,current_A,voltage_V,power_W,energy_J
1.094084197990e-01,1.793147298758e-02,-1.747891424769e-07,-5.752184690391e-06,-5.752184690391e+03,3.308762871237e-02,6.466934629725e-04
1.095177189197e-01,1.795883150495e-02,-1.754182838883e-07,-5.760102096759e-06,-5.760102096759e+03,3.317877616509e-02,6.503148928643e-04
1.096270180404e-01,1.798622765315e-02,-1.760482906652e-07,-5.768019503128e-06,-5.768019503128e+03,3.327004898846e-02,6.539462919440e-04
1.097363171610e-01,1.801366143219e-02,-1.766791628078e-07,-5.775936909497e-06,-5.775936909497e+03,3.336144718248e-02,6.575876739145e-04
1.098456162817e-01,1.804113284206e-02,-1.773109003158e-07,-5.783854315865e-06,-5.783854315865e+03,3.345297074715e-02,6.612390524786e-04
1.099549154024e-01,1.806864188278e-02,-1.779435031895e-07,-5.791771722234e-06,-5.791771722234e+03,3.354461968247e-02,6.649004413394e-04
1.100642145231e-01,1.809618855433e-02,-1.785769714287e-07,-5.799689128603e-06,-5.799689128603e+03,3.363639398843e-02,6.685718541997e-04
1.101735136437e-01,1.812377285672e-02,-1.792113050334e-07,-5.807606534971e-06,-5.807606534971e+03,3.372829366504e-02,6.722533047623e-04
1.102828127644e-01,1.815139478995e-02,-1.798465040037e-07,-5.815523941339e-06,-5.815523941339e+03,3.382031871229e-02,6.759448067302e-04
1.103921118851e-01,1.817905435402e-02,-1.804825683395e-07,-5.823441347708e-06,-5.823441347708e+03,3.391246913019e-02,6.796463738064e-04
1.105014110058e-01,1.820675154893e-02,-1.811194980410e-07,-5.831358754077e-06,-5.831358754077e+03,3.400474491875e-02,6.833580196936e-04
1.106107101265e-01,1.823448637467e-02,-1.817572931079e-07,-5.839276160446e-06,-5.839276160446e+03,3.409714607795e-02,6.870797580949e-04
1.107200092471e-01,1.826225883125e-02,-1.823959535404e-07,-5.847193566814e-06,-5.847193566814e+03,3.418967260779e-02,6.908116027130e-04
1.108293083678e-01,1.829006891867e-02,-1.830354793385e-07,-5.855110973182e-06,-5.855110973182e+03,3.428232450828e-02,6.945535672509e-04
1.109386074885e-01,1.831791663693e-02,-1.836758705021e-07,-5.863028379551e-06,-5.863028379551e+03,3.437510177943e-02,6.983056654116e-04
1.110479066092e-01,1.834580198602e-02,-1.843171270313e-07,-5.870945785920e-06,-5.870945785920e+03,3.446800442121e-02,7.020679108978e-04
