normalized_time,experiment_charge_nC,simulation_charge_nC,difference_nC
9.804902451226e-02,-2.856957684577e+02,-1.595407328626e+01,2.697416951714e+02
9.854927463732e-02,-2.871771222346e+02,-1.640616183412e+01,2.707709604004e+02
9.904952476238e-02,-2.886759847158e+02,-1.686973739031e+01,2.718062473255e+02
9.954977488744e-02,-2.901862695082e+02,-1.734505980127e+01,2.728412097069e+02
1.000500250125e-01,-2.917045408438e+02,-1.783239306316e+01,2.738721477807e+02
1.005502751376e-01,-2.932264225847e+02,-1.833200529068e+01,2.748944172940e+02
1.010505252626e-01,-2.947477954212e+02,-1.884416867897e+01,2.759036267422e+02
1.015507753877e-01,-2.962646703586e+02,-1.936915945816e+01,2.768955109005e+02
1.020510255128e-01,-2.977725320395e+02,-1.990725784025e+01,2.778652741992e+02
1.025512756378e-01,-2.992680466968e+02,-2.045874795788e+01,2.788092987389e+02
1.030515257629e-01,-3.007456784627e+02,-2.102391779456e+01,2.797217606681e+02
1.035517758879e-01,-3.022031097783e+02,-2.160305910606e+01,2.806000506723e+02
1.040520260130e-01,-3.036377586527e+02,-2.219646733239e+01,2.814412913204e+02
1.045522761381e-01,-3.050434731600e+02,-2.280444150004e+01,2.822390316600e+02
1.050525262631e-01,-3.064209284377e+02,-2.342728411410e+01,2.829936443236e+02
1.055527763882e-01,-3.077667670070e+02,-2.406530103963e+01,2.837014659673e+02
1.060530265133e-01,-3.090763168319e+02,-2.471880137205e+01,2.843575154598e+02
1.065532766383e-01,-3.103504922195e+02,-2.538809729599e+01,2.849623949236e+02
1.070535267634e-01,-3.115857137803e+02,-2.607350393214e+01,2.855122098482e+02
1.075537768884e-01,-3.127802808139e+02,-2.677533917177e+01,2.860049416421e+02
1.080540270135e-01,-3.139341980725e+02,-2.749392349825e+01,2.864402745743e+02
1.085542771386e-01,-3.150393942706e+02,-2.822957979542e+01,2.868098144751e+02
1.090545272636e-01,-3.160931377423e+02,-2.898263314212e+01,2.871105046002e+02
1.095547773887e-01,-3.170915444957e+02,-2.975341059254e+01,2.873381339032e+02
1.100550275138e-01,-3.180194071270e+02,-3.054224094196e+01,2.874771661850e+02
1.105552776388e-01,-3.188790510990e+02,-3.134945447751e+01,2.875295966215e+02
1.110555277639e-01,-3.196647437453e+02,-3.217538271341e+01,2.874893610319e+02
1.115557778889e-01,-3.203663947708e+02,-3.302035811047e+01,2.873460366604e+02
1.120560280140e-01,-3.209898433951e+02,-3.388471377929e+01,2.871051296159e+02
1.125562781391e-01,-3.215277360915e+02,-3.476878316703e+01,2.867589529245e+02
1.130565282641e-01,-3.219765427948e+02,-3.567289972715e+01,2.863036430677e+02
1.135567783892e-01,-3.223422811140e+02,-3.659739657211e+01,2.857448845419e+02
1.140570285143e-01,-3.226174944206e+02,-3.754260610843e+01,2.850748883122e+02
1.145572786393e-01,-3.228062261865e+02,-3.850885965425e+01,2.842973665323e+02
1.150575287644e-01,-3.229134215342e+02,-3.949648703875e+01,2.834169344955e+02
1.155577788894e-01,-3.229307500985e+02,-4.050581618367e+01,2.824249339148e+02
1.160580290145e-01,-3.228691861165e+02,-4.153717266650e+01,2.813320134500e+02
1.165582791396e-01,-3.227314971220e+02,-4.259087926545e+01,2.801406178565e+02
1.170585292646e-01,-3.225134625047e+02,-4.366725548604e+01,2.788462070186e+02
1.175587793897e-01,-3.222284429449e+02,-4.476661706948e+01,2.774618258754e+02
1.180590295148e-01,-3.218776171320e+02,-4.588927548278e+01,2.759883416492e+02
1.185592796398e-01,-3.214638162316e+02,-4.703553739087e+01,2.744282788407e+02
1.190595297649e-01,-3.209981467468e+02,-4.820570411082e+01,2.727924426360e+02
1.195597798899e-01,-3.204837610039e+02,-4.940007104852e+01,2.710836899554e+02
1.200600300150e-01,-3.199306561515e+02,-5.061892711829e+01,2.693117290332e+02
1.205602801401e-01,-3.193498644557e+02,-5.186255414557e+01,2.674873103101e+02
1.210605302651e-01,-3.187478346407e+02,-5.313122625353e+01,2.656166083872e+02
1.215607803902e-01,-3.181344252360e+02,-5.442520923400e+01,2.637092160020e+02
1.220610305153e-01,-3.175155716593e+02,-5.574475990354e+01,2.617708117557e+02
1.225612806403e-01,-3.168967060765e+02,-5.709012544540e+01,2.598065806311e+02
1.230615307654e-01,-3.162816370420e+02,-5.846154273823e+01,2.578200943037e+02
1.235617808904e-01,-3.156728882176e+02,-5.985923767264e+01,2.558136505449e+02
1.240620310155e-01,-3.150728593031e+02,-6.128342445658e+01,2.537894348465e+02
1.245622811406e-01,-3.144816749609e+02,-6.273430491082e+01,2.517473700501e+02
1.250625312656e-01,-3.139004921195e+02,-6.421206775586e+01,2.496884243636e+02
1.255627813907e-01,-3.133293294882e+02,-6.571688789159e+01,2.476124415966e+02
1.260630315158e-01,-3.127677009239e+02,-6.724892567133e+01,2.455187752526e+02
1.265632816408e-01,-3.122159149309e+02,-6.880832617180e+01,2.434075887591e+02
1.270635317659e-01,-3.116724164317e+02,-7.039521846087e+01,2.412771979708e+02
1.275637818909e-01,-3.111354942706e+02,-7.200971486481e+01,2.391257794058e+02
1.280640320160e-01,-3.106042725097e+02,-7.365191023708e+01,2.369523622726e+02
1.285642821411e-01,-3.100756524497e+02,-7.532188123079e+01,2.347537712189e+02
1.290645322661e-01,-3.095469219344e+02,-7.701968557683e+01,2.325272363576e+02
1.295647823912e-01,-3.090162210339e+02,-7.874536137004e+01,2.302708596639e+02
1.300650325163e-01,-3.084822117793e+02,-8.049892636581e+01,2.279832854135e+02
1.305652826413e-01,-3.079433595532e+02,-8.228037728941e+01,2.256629822638e+02
1.310655327664e-01,-3.073976162315e+02,-8.408968916076e+01,2.233079270708e+02
1.315657828914e-01,-3.068438428949e+02,-8.592681463703e+01,2.209170282579e+02
1.320660330165e-01,-3.062799881175e+02,-8.779168337594e+01,2.184883047416e+02
1.325662831416e-01,-3.057051159814e+02,-8.968420142227e+01,2.160209145592e+02
1.330665332666e-01,-3.051189340905e+02,-9.160425062051e+01,2.135146834700e+02
1.335667833917e-01,-3.045192217843e+02,-9.355168805631e+01,2.109675337280e+02
1.340670335168e-01,-3.039060928699e+02,-9.552634552963e+01,2.083797473402e+02
1.345672836418e-01,-3.032793510490e+02,-9.752802906236e+01,2.057513219866e+02
1.350675337669e-01,-3.026367148809e+02,-9.955651844330e+01,2.030801964376e+02
